run_id,run_dir,gas_cost,train_seed,volatility,reward_kind,inventory_phi,tau,decision_stride,eval_seed,n_eval,agent,mean_pnl,std_pnl,median_pnl,p5_pnl,p95_pnl,cvar5_pnl,cvar1_pnl,skew_pnl,kurt_pnl,profitable_frac,p_ttest,p_wilcoxon,mean_utility,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,rebalances_per_ep,rebalance_rate_pct,decisions_per_ep,attrib_fees,attrib_il,attrib_gas,attrib_hodl
36160714_8,GAS_COST=2/SEED=14/36160714_8,2.0,14,0.02,inventory,0,15,100,1005,1000,PPO,8.668446055527722,17.602506267297745,9.110318316629218,-21.5807488526466,36.13016845135404,-30.704207968943575,-46.840054065897974,-0.2796140299699643,0.47075182321079057,0.704,4.48632695897628e-49,5.428688140660331e-48,8.668446055527722,17.6685,5.476520536927544,3.272646902737905,2.74905,57.87206571187065,33.522813449910494,-0.40600714285714284,2.8146761065642787,1.8897082578454971,4.339,3.339,33.39,10,32.82303999232936,17.2534604384856,6.678,-0.223133498316045
36160714_8,GAS_COST=2/SEED=14/36160714_8,2.0,14,0.02,inventory,0,15,100,1005,1000,PPO_narrow,16.692760186451135,19.570119252477724,17.616197524182894,-16.541333156675982,47.49699258824773,-26.7616988059612,-42.53285374080194,-0.18102279887424458,0.581895662735147,0.816,9.800930520885588e-121,2.119244022817072e-100,16.692760186451135,1.9995999999999998,0.0012000000000000018,0.006311893535223807,-1.0305,58.76032974900733,34.29549416104104,-0.13271170634920634,1.5495828987689906,1.1393636528636628,5.348,4.348,43.480000000000004,10,45.586943071974076,19.97401898624003,8.696,-0.22416389928292144
36160714_9,GAS_COST=2/SEED=14/36160714_9,2.0,14,0.02,inventory,50,15,100,1005,1000,PPO,1.4568703614301923,4.088211618136386,0.0,-4.651366340855628,8.341289822868855,-8.852984225078398,-14.084390855644404,-0.06537972139625363,3.147572779404528,0.454,8.677319544082648e-28,1.7301257377252246e-33,0.3010597175657168,22.13860544217687,0.041666666666666664,5.036339653242971,-7.89328231292517,3.0795068027210886,46.449770635790856,-0.3244047619047619,0.1441326530612245,1.321947962061704,0.618,0.03,0.3,10,2.877390730353804,1.3325983020646879,0.06,-0.027922066858923837
36160714_9,GAS_COST=2/SEED=14/36160714_9,2.0,14,0.02,inventory,50,15,100,1005,1000,PPO_narrow,3.2391186981226356,6.521892114839561,1.2717062165208404,-4.9999408626528,15.881291601996226,-9.977817785576688,-16.9455727305746,0.9047142515791055,3.1527220559767963,0.546,8.41824280486494e-50,9.157806409472272e-54,1.3836808747588552,2.0,0.0,0.0,-11.133748055987558,11.302344723813443,48.749769228458966,0.9170554691550026,0.0784936306699705,0.19394970889157281,0.776,0.133,1.33,10,5.753815685768779,2.238210771609286,0.266,-0.01048621603685692
36160714_12,GAS_COST=2/SEED=16/36160714_12,2.0,16,0.01,inventory,0,15,100,1005,1000,PPO,43.15397126838901,17.345353382138992,43.265213742534115,14.705669244864868,72.27426686665189,7.990626901767773,-3.299798683315976,-0.00682936082382888,-0.06008695136145725,0.995,0.0,4.725328121097022e-165,43.15397126838901,4.665,2.7368795411956737,1.5312070402137001,0.3051,26.639753581014542,9.856659119093042,-0.1771660714285714,2.6285070283171965,1.2093655905678897,7.316,6.316,63.160000000000004,10,68.7673095185791,12.660032895519242,12.632,-0.3213053546708533
36160714_12,GAS_COST=2/SEED=16/36160714_12,2.0,16,0.01,inventory,0,15,100,1005,1000,PPO_narrow,49.85162356111717,20.49925373334218,49.05741374336753,18.332777660225116,84.17178747525273,9.632688764050744,-2.7640265196284077,0.11157394266654788,-0.12373416311578289,0.995,0.0,4.517322106650724e-165,49.85162356111717,2.0,0.0,0.0,0.1919,26.532363960967114,9.718897282613908,-0.1952575396825397,2.0705780148475585,0.9092476294547206,8.761,7.761,77.61,10,79.78099435316558,14.068379072349876,15.522,-0.33899171969854724
36160714_13,GAS_COST=2/SEED=16/36160714_13,2.0,16,0.01,inventory,50,15,100,1005,1000,PPO,31.705372963141954,14.677823250913946,31.279796249847664,8.16625539779198,56.05380006164075,1.4272358662568216,-5.192691730796582,0.10743122586756072,0.15017482473331922,0.981,0.0,1.1724923615747042e-164,13.793206115452314,11.8536,4.875206779665123,3.36454261973303,-4.7676,27.21768234910516,10.123428531875948,-2.119618650793651,3.91077057510528,1.821509242268906,6.282,5.282,52.82000000000001,10,52.82915951949836,10.393934752356554,10.564,-0.16585180399984892
36160714_13,GAS_COST=2/SEED=16/36160714_13,2.0,16,0.01,inventory,50,15,100,1005,1000,PPO_narrow,46.83785764098819,19.316060446846542,45.861113261043215,16.766401576109526,78.90259113483464,9.746822556913164,0.11154511685067518,0.18154774251371247,-0.16677297475526576,0.996,0.0,3.841387285589504e-165,23.86339086231262,2.0,0.0,0.0,-2.024,26.804534449234346,10.197283167589296,-0.4581611111111111,2.3214510736326854,1.0775391593365078,7.85,6.85,68.5,10,74.01677289058466,13.17731061564033,13.7,-0.30160463395612924
36160714_14,GAS_COST=2/SEED=16/36160714_14,2.0,16,0.02,inventory,0,15,100,1005,1000,PPO,8.873010308294608,17.63739677575306,9.478163908025579,-20.78735928027624,36.89557191360168,-30.789218132136703,-46.88172765708043,-0.3443640044106898,0.3907077588227832,0.714,6.393880543550071e-51,2.116109172448186e-49,8.873010308294608,16.8807,6.032419849211198,3.9403346951750176,5.13305,61.52396272486137,38.92248906734383,0.11181130952380951,2.5508786575743545,1.8807095921847423,4.063,3.063,30.630000000000003,10,31.460942953840885,16.219692562526543,6.126,-0.24224008301973526
36160714_14,GAS_COST=2/SEED=16/36160714_14,2.0,16,0.02,inventory,0,15,100,1005,1000,PPO_narrow,18.606378758408898,20.200667643628762,18.8365482472513,-14.814560553752278,51.60187882672948,-25.101926847888887,-40.92368557549891,-0.020580458105841016,0.547420880367885,0.837,2.032266517427154e-135,4.246544649498383e-110,18.606378758408898,2.0,0.0,0.0,3.2075,59.65699143096537,37.524408772824124,0.023852777777777782,1.031497898850189,0.6571568639139441,5.474,4.474,44.74,10,48.2757867525645,20.49689434010712,8.948,-0.22451365404848203
