gas_cost,volatility,reward_kind,inventory_phi,agent,mean_pnl,std_pnl,median_pnl,skew_pnl,kurt_pnl,profitable_frac,mean_spread,spread_std_within,spread_std_between,mean_center,center_std_within,center_std_between,rebalances_per_ep,rebalance_rate_pct,deploy_mean_center,deploy_center_std_within,deploy_center_std_between,deploys_per_ep,attrib_hodl,attrib_fees,attrib_il,attrib_gas,risk_profile
2,0.025,inventory,50.0,ArrivalRebalance,-1.35,23.3,-0.59,-0.43,0.92,0.488,2.0,0.0,0.0,0.793,43.337,18.484,6.0,0.6,0.0,0.0,0.0,7.0,-0.67,37.86,26.56,11.99,phi=50
2,0.025,inventory,50.0,DeployNarrow,2.89,19.43,4.84,-0.73,1.23,0.674,2.0,0.0,0.0,5.466,84.24,130.884,0.0,0.0,0.0,0.0,0.0,1.0,-0.51,13.44,10.05,0.0,phi=50
2,0.025,inventory,50.0,CDM,-4.63,18.62,0.0,-1.2,2.44,0.401,1.027,0.552,0.046,-22.88,83.82,125.278,1.9,0.19,-12.12,3.024,2.768,2.9,-0.01,10.86,11.69,3.79,phi=50
2,0.025,inventory,50.0,PPO,0.41,2.79,0.0,-1.01,11.9,0.23,21.405,0.037,4.05,-14.166,2.271,49.597,0.01,0.13,-4.224,0.022,1.988,0.31,-0.01,1.24,0.8,0.03,phi=50
2,0.025,inventory,50.0,PPO_narrow,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,phi=50
2,0.025,inventory,80.0,DeployWide,0.81,18.36,4.94,-1.03,1.35,0.656,30.0,0.0,0.0,5.466,84.24,130.884,0.0,0.0,0.0,0.0,0.0,1.0,-0.55,11.03,9.67,0.0,phi=80
2,0.025,inventory,80.0,ArrivalRebalance,-1.35,23.3,-0.59,-0.43,0.92,0.488,2.0,0.0,0.0,0.793,43.337,18.484,6.0,0.6,0.0,0.0,0.0,7.0,-0.67,37.86,26.56,11.99,phi=80
2,0.025,inventory,80.0,DeployNarrow,2.89,19.43,4.84,-0.73,1.23,0.674,2.0,0.0,0.0,5.466,84.24,130.884,0.0,0.0,0.0,0.0,0.0,1.0,-0.51,13.44,10.05,0.0,phi=80
2,0.025,inventory,80.0,CDM,-4.63,18.62,0.0,-1.2,2.44,0.401,1.027,0.552,0.046,-22.88,83.82,125.278,1.9,0.19,-12.12,3.024,2.768,2.9,-0.01,10.86,11.69,3.79,phi=80
2,0.025,inventory,80.0,PPO,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,phi=80
2,0.025,inventory,80.0,PPO_narrow,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,phi=80
2,0.03,inventory,20.0,DeployWide,-2.12,20.71,3.51,-1.21,1.6,0.622,30.0,0.0,0.0,6.296,96.948,150.88,0.0,0.0,0.0,0.0,0.0,1.0,-0.66,10.12,11.58,0.0,phi=20
2,0.03,inventory,20.0,ArrivalRebalance,-10.64,26.12,-6.95,-0.82,1.67,0.367,2.0,0.0,0.0,1.055,46.168,21.107,6.0,0.6,0.0,0.0,0.0,7.0,-1.05,34.97,32.55,12.0,phi=20
2,0.03,inventory,20.0,DeployNarrow,0.1,21.61,4.59,-0.99,1.41,0.639,2.0,0.0,0.0,6.296,96.948,150.88,0.0,0.0,0.0,0.0,0.0,1.0,-0.61,12.69,11.99,0.0,phi=20
