gas_cost,volatility,inventory_phi,agent,n_seeds,mean,p5_mean,p95_mean,std,p5_std,p95_std,cvar5_mean,cvar5_std,cvar1_mean,cvar1_std,std_pnl_mean,min,max,range,cv_pct
6.0,0.01,0,DeployNarrow,10,15.853083515013816,-8.712122030260673,46.928570278263656,0.0,0.0,0.0,-14.516680283819761,0.0,-24.147723319955094,0.0,16.956191085381878,15.853083515013815,15.853083515013815,0.0,0.0
6.0,0.01,0,DeployWide,10,12.778933753980283,-9.371417503759556,37.770858544332846,0.0,0.0,0.0,-15.105149504433717,0.0,-23.347849320742046,0.0,13.919367309882404,12.778933753980283,12.778933753980283,0.0,0.0
6.0,0.01,50,ArrivalRebalance,10,12.250603275290802,-18.367380969824517,48.00494194436986,0.0,0.0,0.0,-24.09288431296657,0.0,-33.42036328629992,0.0,19.581694640739894,12.250603275290802,12.250603275290802,0.0,0.0
6.0,0.01,50,CDM,10,-6.433423364295349,-39.86375739196604,23.64496270684925,0.0,0.0,0.0,-51.76011329602695,0.0,-65.99030782797877,0.0,19.55984575346893,-6.43342336429535,-6.43342336429535,0.0,0.0
6.0,0.01,50,DeployNarrow,10,15.853083515013816,-8.712122030260673,46.928570278263656,0.0,0.0,0.0,-14.516680283819761,0.0,-24.147723319955094,0.0,16.956191085381878,15.853083515013815,15.853083515013815,0.0,0.0
6.0,0.01,50,DeployWide,10,12.778933753980283,-9.371417503759556,37.770858544332846,0.0,0.0,0.0,-15.105149504433717,0.0,-23.347849320742046,0.0,13.919367309882404,12.778933753980283,12.778933753980283,0.0,0.0
6.0,0.02,0,ArrivalRebalance,10,-15.456692058634257,-49.72042428089082,18.641865875410332,0.0,0.0,0.0,-62.62027136435355,0.0,-82.7431461913318,0.0,20.66408421617619,-15.456692058634257,-15.456692058634257,0.0,0.0
6.0,0.02,0,CDM,10,-136.07266133538965,-336.7040770538011,-34.30913112467313,0.0,0.0,0.0,-420.69574046657465,0.0,-541.7126626361184,0.0,98.00393867787076,-136.07266133538965,-136.07266133538965,0.0,0.0
6.0,0.02,0,DeployNarrow,10,6.477607686199505,-23.96664213352248,34.81409255433276,0.0,0.0,0.0,-35.36628440504408,0.0,-50.708465953253054,0.0,17.950551852566374,6.477607686199505,6.477607686199505,0.0,0.0
6.0,0.02,0,DeployWide,10,4.09478718770963,-24.95742360716701,27.8048911655416,0.0,0.0,0.0,-36.48392899469141,0.0,-51.603535519010464,0.0,16.271817552955877,4.09478718770963,4.09478718770963,0.0,0.0
6.0,0.02,50,ArrivalRebalance,10,-15.456692058634257,-49.72042428089082,18.641865875410332,0.0,0.0,0.0,-62.62027136435355,0.0,-82.7431461913318,0.0,20.66408421617619,-15.456692058634257,-15.456692058634257,0.0,0.0
